DATE,PCEPI,CCPIU,yr
2005-06-01,86.423,113.2,2005
2006-06-01,89.459,117.7,2006
2007-06-01,91.532,120.439,2007
2008-06-01,95.021,126.307,2008
2009-06-01,94.053,124.485,2009
2010-06-01,95.522,125.521,2010
2011-06-01,98.186,129.846,2011
2012-06-01,99.704,131.956,2012
2013-06-01,101.228,133.9,2013
2014-06-01,103.035,136.433,2014
2015-06-01,103.356,136.391,2015
2016-06-01,104.175,137.329,2016
2017-06-01,105.818,138.989,2017
2018-06-01,108.341,142.349,2018
2019-06-01,109.92,144.243,2019
2021-06-01,115.388,152.295,2021
